,p,a
2808,Flight Dispatcher,2150
2809,Atbildīgās amatpersonas vietnieks/-ce,2250
2810,Biznesa analītiķis (IT),3000
2811,IT projektu vadītājs/-a,3400
2812,Elektronikas regulētājs/-a,1750
2813,Produktu vadītājs/-a (Eiropas digitālās identitātes maks),3225
2814,Telepārdošanas speciālists/-e,1150
2815,Rēķinvedis/-e,1100
2816,Projektu vadītājs (darbs Daugavpilī),1175
2817,"Automatizācijas sistēmu inženieris (Automatizācijas virziena vadītājs PLC, SCADA, MES, BMS)",2500
2818,Application Lead Engineer for ServiceNow,4550
2819,Maiņas vadītājs/-a (veikalā),1230
2820,Plant Manager,5000
2821,Finance Expert - General Accounting Tax Integration,2500
2822,Scrum Master within Data and Analytics,4800
2823,Veikala nodaļas vadītājs/-a,200
2824,Maiņas vadītājs/-a,200
2825,Maiņas vadītājs/-a,200
2826,Veikala nodaļas vadītājs/-a,200
2827,Veikala nodaļas vadītājs/-a,200
2828,General operatives,560
2829,Maiņas vadītājs/-a,240
2830,Veikala nodaļas vadītājs/-a,200
2831,Preču pieņēmējs/-a,200
2832,Praktikants/-e Celtniecības daļā,700
2833,Maiņas vadītājs/-a,200
2834,Maiņas vadītājs/-a,200
2835,Maiņas vadītājs/-a,200
2836,Maiņas vadītājs/-a,200
2837,Elektromehānisko iekārtu mehāniķis,1400
